74535434343,CHEVROLET,S10,2019,2020,109590.00
99087897877,FIAT,Toro,,2020,86202.60
13121232333,HONDA,Accord,2020,2020,
98787879088,FORD,Ka,2020,2020,45590.00
897675644,VOLKSWAGEN,Polo,2020,2020,58900.00
11235678897,AUDI,Q3,2020,2020,179990.00
11213245667,HONDA,FIT,2020,,62800.00
99686866543,CAOA CHERY,Tiggo 5X,2019,2020,91990.00
55224232121,BMW,S̩rie 3,2020,2020,270900.00
77456777754,CHEVROLET,Prisma,2020,2020,60990.00
33234564544,JEEP,Renegade,2019,2020,91590.00
,,,,,
55556342212,VOLVO,XC60,2020,2020,245950.00
66456353433,MITSUBISHI,Pajero,2020,2020,150878.00
88857632222,TOYOTA,Yaris,2019,2020,68490.00
11456677888,VOLKSWAGEN,T-Cross,2020,2020,97990.00
99996533322,MINI,Cooper,2020,2020,149990.00
66463535252,SUZUKI,Jimny,2020,2020,77990.00
22224232312,MERCEDES-BENZ,CLA,2020,2020,219900.00
,,Honda,,,
44444535342,CHEVROLET,Onix Plus,2020,2020,59290.00
53434342322,FORD,FUCUS,2019,2020,74990.00
,,,,,
45678564534,BMW,330i,2019,2020,269950.00
12243254354,TOYOTA,RAV4,2020,2020,165990.00
87547456533,SUZUKI,Vitara,2020,2020,102990.00
,,HB20,,,
66456453333,JEEP,Compass,2020,2020,134990.00
9977456453,FIAT,Cronos,2020,2020,60990.00
32424242424,VOLKSWAGEN,UP!,2020,2020,45900.00
14254646345,HONDA,WR-V,2020,2020,89100.00
89665353423,TOYOTA,Corolla,2020,2020,104940.00
24242435677,CHEVROLET,Tracker,2020,2020,94990.00
13225435645,CHEVROLET,Spin,2019,2020,69150.00
54543534353,FORD,EcoSport,2020,2020,71990.00
35434242424,AUDI,A5,2020,2020,267900.00
36545645347,VOLKSWAGEN,2020,2020,54990.00,
13457687898,HYUNDAI,Creta,2019,2020,80990.00
75633232323,JAGUAR,XE,2020,2020,245900.00
66453434343,VOLKSWAGEN,Virtus,2020,2020,75990.00
34343535434,FIAT,Argo,2020,2020,57790.00
22323234243,FIAT,Mobi,2020,2020,35990.00
44433333423,FORD,Edge,2020,2020,299000.00